2tvenom/cborencode                                                1.0.2      CBOR encoder for PHP
magento/module-re-captcha-store-pickup                            1.0.0      Google reCaptcha integration for Magento2 Invent...
magento/module-re-captcha-ui                                      1.1.1      Google reCAPTCHA integration for Magento2
magento/module-re-captcha-user                                    1.1.1      Google reCAPTCHA integration for Magento2
magento/module-re-captcha-validation                              1.1.0      Google reCAPTCHA integration for Magento2
magento/module-re-captcha-validation-api                          1.1.0      Google reCAPTCHA integration for Magento2
magento/module-re-captcha-version-2-checkbox                      2.0.1      Google reCAPTCHA integration for Magento2
magento/module-re-captcha-version-2-invisible                     2.0.1      Google reCAPTCHA integration for Magento2
magento/module-re-captcha-version-3-invisible                     2.0.1      Google reCAPTCHA integration for Magento2
magento/module-re-captcha-webapi-api                              1.0.0      Google reCAPTCHA integration for Magento2
magento/module-re-captcha-webapi-graph-ql                         1.0.0      Google reCAPTCHA integration for Magento2
magento/module-re-captcha-webapi-rest                             1.0.0      Google reCAPTCHA integration for Magento2
magento/module-re-captcha-webapi-ui                               1.0.0      Google reCAPTCHA integration for Magento2
magento/module-related-product-graph-ql                           100.4.1    N/A
magento/module-release-notification                               100.4.1    N/A
magento/module-remote-storage                                     100.4.1-p1 N/A
magento/module-reports                                            100.4.3    N/A
magento/module-require-js                                         100.4.0    N/A
magento/module-review                                             100.4.3    N/A
magento/module-review-analytics                                   100.4.1    N/A
magento/module-review-graph-ql                                    100.4.0    N/A
magento/module-robots                                             101.1.0    N/A
magento/module-rss                                                100.4.2    N/A
magento/module-rule                                               100.4.2    N/A
magento/module-sales                                              103.0.3-p3 N/A
magento/module-sales-analytics                                    100.4.1    N/A
magento/module-sales-graph-ql                                     100.4.3    N/A
magento/module-sales-inventory                                    100.4.0    N/A
magento/module-sales-rule                                         101.2.3    N/A
magento/module-sales-sequence                                     100.4.1    N/A
magento/module-sample-data                                        100.4.1    Sample Data fixtures
magento/module-search                                             101.1.3    N/A
magento/module-security                                           100.4.3-p1 Security management module
magento/module-securitytxt                                        1.1.0      Security.txt file for Magento 2 websites
magento/module-send-friend                                        100.4.2    N/A
magento/module-send-friend-graph-ql                               100.4.0    N/A
magento/module-shipping                                           100.4.3    N/A
magento/module-sitemap                                            100.4.2    N/A
magento/module-store                                              101.1.3-p3 N/A
magento/module-store-graph-ql                                     100.4.2    N/A
magento/module-swagger                                            100.4.2-p2 N/A
magento/module-swagger-webapi                                     100.4.0    N/A
magento/module-swagger-webapi-async                               100.4.0    N/A
magento/module-swatches                                           100.4.3    Add Swatches to Products
magento/module-swatches-graph-ql                                  100.4.2    N/A
magento/module-swatches-layered-navigation                        100.4.0    N/A
magento/module-tax                                                100.4.3    N/A
magento/module-tax-graph-ql                                       100.4.0    N/A
magento/module-tax-import-export                                  100.4.3    N/A
magento/module-theme                                              101.1.3-p2 N/A
magento/module-theme-graph-ql                                     100.4.1    N/A
magento/module-translation                                        100.4.3    N/A
magento/module-two-factor-auth                                    1.1.2      Two Factor Authentication module for Magento2
magento/module-ui                                                 101.2.3-p2 N/A
magento/module-ups                                                100.4.3    N/A
magento/module-url-rewrite                                        102.0.2    N/A
magento/module-url-rewrite-graph-ql                               100.4.2    N/A
magento/module-user                                               101.2.3-p2 N/A
magento/module-usps                                               100.4.2    N/A
magento/module-variable                                           100.4.1-p2 N/A
magento/module-vault                                              101.2.3-p1
magento/module-vault-graph-ql                                     100.4.0    N/A
magento/module-version                                            100.4.0    N/A
magento/module-webapi                                             100.4.2-p2 N/A
magento/module-webapi-async                                       100.4.1-p2 N/A
magento/module-webapi-security                                    100.4.1    WebapiSecurity module provides option to loosen ...
magento/module-weee                                               100.4.3    N/A
magento/module-weee-graph-ql                                      100.4.1    N/A
magento/module-widget                                             101.2.3-p3 N/A
magento/module-wishlist                                           101.2.3-p3 N/A
magento/module-wishlist-analytics                                 100.4.2    N/A
magento/module-wishlist-graph-ql                                  100.4.3    N/A
magento/page-builder                                              1.7.0-p3   Page Builder metapackage
magento/product-community-edition                                 2.4.3-p3   eCommerce Platform for Growth (Community Edition)
magento/security-package                                          1.1.2      Magento Security Package
magento/theme-adminhtml-backend                                   100.4.3-p1 N/A
magento/theme-frontend-blank                                      100.4.3    N/A
magento/theme-frontend-luma                                       100.4.3    N/A
magento/zendframework1                                            1.14.5     Magento Zend Framework 1
mirasvit/module-core                                              1.4.37     Mirasvit Core
mirasvit/module-feed                                              1.4.8      Advanced Product Feeds
mirasvit/module-report                                            1.4.34     Reports Core
mirasvit/module-report-api                                        1.0.68     Reports Core API
mobiledetect/mobiledetectlib                                      2.8.45     Mobile_Detect is a lightweight PHP class for det...
monolog/monolog                                                   1.27.1     Sends your logs to files, sockets, inboxes, data...
mtdowling/jmespath.php                                            2.7.0      Declaratively specify how to extract elements fr...
mustache/mustache                                                 v2.14.2    A Mustache implementation in PHP.
myclabs/deep-copy                                                 1.12.0     Create deep copies (clones) of your objects
myclabs/php-enum                                                  1.8.4      PHP Enum implementation
nikic/php-parser                                                  v4.4.0     A PHP parser written in PHP
paragonie/constant_time_encoding                                  v2.7.0     Constant-time Implementations of RFC 4648 Encodi...
paragonie/random_compat                                           v9.99.100  PHP 5.x polyfill for random_bytes() and random_i...
paragonie/sodium_compat                                           v1.21.1    Pure PHP implementation of libsodium; uses the P...
paypal/module-braintree                                           4.2.5      Braintree Magento
paypal/module-braintree-core                                      4.2.5      Fork from the Magento Braintree 2.2.0 module by ...
paypal/module-braintree-graph-ql                                  4.1.3      N/A
pdepend/pdepend                                                   2.7.1      Official version of pdepend to be handled with C...
pelago/emogrifier                                                 v5.0.1     Converts CSS styles into inline style attributes...
phar-io/manifest                                                  1.0.3      Component for reading phar.io manifest informati...
phar-io/version                                                   2.0.1      Library for handling version information and con...
php-amqplib/php-amqplib                                           v2.10.1    Formerly videlalvaro/php-amqplib.  This library ...
php-cs-fixer/diff                                                 v1.3.1     sebastian/diff v2 backport support for PHP5.6
php-webdriver/webdriver                                           1.8.2      A PHP client for Selenium WebDriver. Previously ...
phpcompatibility/php-compatibility                                9.3.5      A set of sniffs for PHP_CodeSniffer that checks ...
phpdocumentor/reflection-common                                   2.2.0      Common reflection classes used by phpdocumentor ...
phpdocumentor/reflection-docblock                                 5.4.1      With this component, a library can provide suppo...
phpdocumentor/type-resolver                                       1.8.2      A PSR-5 based resolver of Class names, Types and...
phpgt/cssxpath                                                    v1.1.4     Convert CSS selectors to XPath queries.
phpgt/dom                                                         v2.1.6     The modern DOM API for PHP 7 projects.
phpmd/phpmd                                                       2.9.1      PHPMD is a spin-off project of PHP Depend and ai...
phpseclib/mcrypt_compat                                           1.0.8      PHP 7.1 polyfill for the mcrypt extension from P...
phpseclib/phpseclib                                               2.0.47     PHP Secure Communications Library - Pure-PHP imp...
phpspec/prophecy                                                  v1.19.0    Highly opinionated mocking framework for PHP 5.3+
phpstan/phpdoc-parser                                             1.29.1     PHPDoc parser with support for nullable, interse...
phpstan/phpstan                                                   0.12.100   PHPStan - PHP Static Analysis Tool
phpunit/php-code-coverage                                         8.0.2      Library that provides collection, processing, an...
phpunit/php-file-iterator                                         3.0.6      FilterIterator implementation that filters files...
phpunit/php-invoker                                               3.1.1      Invoke callables with a timeout
phpunit/php-text-template                                         2.0.4      Simple template engine.
phpunit/php-timer                                                 5.0.3      Utility class for timing
phpunit/php-token-stream                                          4.0.4      Wrapper around PHP's tokenizer extension.
phpunit/phpunit                                                   9.2.6      The PHP Unit Testing framework.
psr/cache                                                         1.0.1      Common interface for caching libraries
psr/container                                                     1.1.2      Common Container Interface (PHP FIG PSR-11)
psr/event-dispatcher                                              1.0.0      Standard interfaces for event handling.
psr/http-client                                                   1.0.3      Common interface for HTTP clients
psr/http-factory                                                  1.1.0      PSR-17: Common interfaces for PSR-7 HTTP message...
psr/http-message                                                  1.1        Common interface for HTTP messages
psr/log                                                           1.1.4      Common interface for logging libraries
ralouphie/getallheaders                                           3.0.3      A polyfill for getallheaders.
ramsey/collection                                                 1.3.0      A PHP library for representing and manipulating ...
ramsey/uuid                                                       4.1.3      A PHP library for generating and working with un...
react/promise                                                     v2.11.0    A lightweight implementation of CommonJS Promise...
sebastian/cli-parser                                              1.0.2      Library for parsing CLI options
sebastian/code-unit                                               1.0.8      Collection of value objects that represent the P...
sebastian/code-unit-reverse-lookup                                2.0.3      Looks up which function or method a line of code...
sebastian/comparator                                              4.0.8      Provides the functionality to compare PHP values...
sebastian/diff                                                    4.0.6      Diff implementation
sebastian/environment                                             5.1.5      Provides functionality to handle HHVM/PHP enviro...
sebastian/exporter                                                4.0.6      Provides the functionality to export PHP variabl...
sebastian/global-state                                            4.0.0      Snapshotting of global state
sebastian/object-enumerator                                       4.0.4      Traverses array structures and object graphs to ...
sebastian/object-reflector                                        2.0.4      Allows reflection of object attributes, includin...
sebastian/phpcpd                                                  6.0.3      Copy/Paste Detector (CPD) for PHP code.
sebastian/recursion-context                                       4.0.5      Provides functionality to recursively process PH...
sebastian/resource-operations                                     3.0.4      Provides a list of PHP built-in functions that o...
sebastian/type                                                    2.3.4      Collection of value objects that represent the t...
sebastian/version                                                 3.0.2      Library that helps with managing the version num...
seld/jsonlint                                                     1.10.2     JSON Linter
seld/phar-utils                                                   1.2.1      PHAR file format utilities, for when PHP phars y...
spomky-labs/aes-key-wrap                                          v6.0.0     AES Key Wrap for PHP.
spomky-labs/base64url                                             v2.0.4     Base 64 URL Safe Encoding/Decoding PHP Library
spomky-labs/otphp                                                 v10.0.3    A PHP library for generating one time passwords ...
squizlabs/php_codesniffer                                         3.5.8      PHP_CodeSniffer tokenizes PHP, JavaScript and CS...
symfony/config                                                    v5.4.40    Helps you find, load, combine, autofill and vali...
symfony/console                                                   v4.4.49    Eases the creation of beautiful and testable com...
symfony/css-selector                                              v5.4.40    Converts CSS selectors to XPath expressions
symfony/debug                                                     v4.4.44    Provides tools to ease debugging PHP code
symfony/dependency-injection                                      v5.4.40    Allows you to standardize and centralize the way...
symfony/deprecation-contracts                                     v2.5.3     A generic function and convention to trigger dep...
symfony/error-handler                                             v4.4.44    Provides tools to manage errors and ease debuggi...
symfony/event-dispatcher                                          v4.4.44    Provides tools that allow your application compo...
symfony/event-dispatcher-contracts                                v1.10.0    Generic abstractions related to dispatching event
symfony/filesystem                                                v5.4.41    Provides basic utilities for the filesystem
symfony/finder                                                    v5.4.40    Finds files and directories via an intuitive flu...
symfony/http-client-contracts                                     v2.5.3     Generic abstractions related to HTTP clients
symfony/http-foundation                                           v5.4.40    Defines an object-oriented layer for the HTTP sp...
symfony/http-kernel                                               v4.4.51    Provides a structured process for converting a R...
symfony/mime                                                      v5.4.41    Allows manipulating MIME messages
symfony/options-resolver                                          v5.4.40    Provides an improved replacement for the array_r...
symfony/polyfill-ctype                                            v1.30.0    Symfony polyfill for ctype functions
symfony/polyfill-intl-grapheme                                    v1.30.0    Symfony polyfill for intl's grapheme_* functions
symfony/polyfill-intl-idn                                         v1.30.0    Symfony polyfill for intl's idn_to_ascii and idn...
symfony/polyfill-intl-normalizer                                  v1.30.0    Symfony polyfill for intl's Normalizer class and...
symfony/polyfill-mbstring                                         v1.30.0    Symfony polyfill for the Mbstring extension
symfony/polyfill-php70                                            v1.20.0    Symfony polyfill backporting some PHP 7.0+ featu...
symfony/polyfill-php72                                            v1.30.0    Symfony polyfill backporting some PHP 7.2+ featu...
symfony/polyfill-php73                                            v1.30.0    Symfony polyfill backporting some PHP 7.3+ featu...
symfony/polyfill-php80                                            v1.30.0    Symfony polyfill backporting some PHP 8.0+ featu...
symfony/polyfill-php81                                            v1.30.0    Symfony polyfill backporting some PHP 8.1+ featu...
symfony/process                                                   v4.4.44    Executes commands in sub-processes
symfony/property-access                                           v5.4.40    Provides functions to read and write from/to an ...
symfony/property-info                                             v5.4.41    Extracts information about PHP class' properties...
symfony/service-contracts                                         v2.5.3     Generic abstractions related to writing services
symfony/stopwatch                                                 v5.4.40    Provides a way to profile code
symfony/string                                                    v5.4.41    Provides an object-oriented API to strings and d...
symfony/var-dumper                                                v5.4.40    Provides mechanisms for walking through any arbi...
symfony/yaml                                                      v5.3.14    Loads and dumps YAML files
tedivm/jshrink                                                    v1.4.0     Javascript Minifier built in PHP
temando/module-shipping                                           2.0.0      Temando multi-carrier shipping extension for Mag...
temando/module-shipping-remover                                   1.0.0      Removes Temando multi-carrier shipping extension...
thecodingmachine/safe                                             v1.3.3     PHP core functions that throw exceptions instead...
theseer/tokenizer                                                 1.2.3      A small library for converting tokenized PHP sou...
tubalmartin/cssmin                                                v4.1.1     A PHP port of the YUI CSS compressor
ulmod/ordercomment                                                2.4.5      Order Comment for Magento 2 by Ulmod
vertexinc/module-address-validation                               2.1.3      Vertex Address Validation module for Magento 2
vertexinc/module-address-validation-api                           1.0.1      Vertex Address Cleansing module for Magento 2 API
vertexinc/module-request-logging                                  1.0.0      Vertex Request Logging module for Magento 2
vertexinc/module-request-logging-api                              1.0.0      Vertex Request Logging module for Magento 2 API
vertexinc/module-tax                                              4.2.2      Vertex Tax Links for Magento 2
vertexinc/product-magento-module                                  4.2.2      Vertex Tax Links for Magento 2
vertexinc/sdk                                                     1.2.8      Tools for communicating with Vertex Cloud and Ve...
vlucas/phpdotenv                                                  v2.6.9     Loads environment variables from `.env` to `gete...
web-token/jwt-framework                                           v2.2.11    JSON Object Signing and Encryption library for P...
webimpress/safe-writer                                            2.2.0      Tool to write files safely, to avoid race condit...
webmozart/assert                                                  1.11.0     Assertions to validate method input/output with ...
webonyx/graphql-php                                               v0.13.9    A PHP port of GraphQL reference implementation
weew/helpers-array                                                v1.3.1     Useful collection of php array helpers.
wikimedia/less.php                                                v3.2.1     PHP port of the LESS processor
yotpo/magento2-module-yotpo-reviews                               3.2.0      Yotpo Reviews extension for Magento2
yotpo/magento2-module-yotpo-reviews-bundle                        3.2.0      Bundling metapackage for yotpo/magento2-module-y...
zf1/zend-exception                                                1.12.20    Zend Framework 1 Exception package
zf1/zend-reflection                                               1.12.20    Zend Framework 1 Reflection package
